Afganistán,AFG-004
Åland Islands,ALI-248
Albania,ALB-008
Alemania,DEU-276
Andorra,AND-020
Angola,AGO-024
Anguila,AIA-660
Antártida,ATA-010
Antigua y Barbuda,ATG-028
Antillas Neerlandesas,ANT-530
Arabia Saudita,SAU-682
Argelia-DZA,012
Argentina,ARG-032
Armenia,ARM-051
Aruba,ABW-533
Australia,AUS-036
Austria,AUT-040
Azerbaiyán,AZE-031
Bahamas,BHS-044
Bahrein,BHR-048
Bangladesh,BGD-050
Barbados,BRB-052
Belarús,BLR-112
Bélgica,BEL-056
Bélgica,Luxemburgo-BLX-058
Belice,BLZ-084
Benin,BEN-204
Bermudas,BMU-060
Bhután,BTN-064
Bolivia,BOL-068
Bonaire,BES-535
Bosnia y Herzegovina,BIH-070
Botswana,BWA-072
Brasil,BRA-076
Brunei Darussalam,BRN-096
Bulgaria,BGR-100
Burkina Faso,BFA-854
Burundi,BDI-108
Cabo Verde,CPV-132
Camboya,KHM-116
Camerún,CMR-120
Canadá,CAN-124
Categorías especiales,SPE-839
Chad,TCD-148
Checoslovaquia,CSK-200
Chile,CHL-152
China,CHN-156
Chipre,CYP-196
Colombia,COL-170
Comoras,COM-174
"Congo- Rep. del",COG-178
"Congo- Rep. Dem. del",ZAR-180
"Corea- Rep. de",KOR-410
"Corea- Rep. Dem. de",PRK-408
Costa Rica,CRI-188
Côte d'Ivoire,CIV-384
Croacia,HRV-191
Cuba,CUB-192
Curacao,CUW-531
Dinamarca,DNK-208
Djibouti,DJI-262
Dominica,DMA-212
Ecuador,ECU-218
"Egipto- Rep. árabe de",EGY-818
El Salvador,SLV-222
Emiratos Árabes Unidos,ARE-784
Eritrea,ERI-232
Eslovenia,SVN-705
España,ESP-724
Estados Unidos,USA-840
Estonia,EST-233
Etiopía (excluida Eritrea),ETH-231
Etiopía (incluida Eritrea),ETF-230
European Union,EUN-918
Ex Sudán,SDN-736
Federación de Rusia,RUS-643
Fiji,FJI-242
Filipinas,PHL-608
Finlandia,FIN-246
Fm Panama Cz,PCZ-592
Fm Rhod Nyas,ZW1-717
Fm Tanganyik,TAN-835
Fm Vietnam DR,VDR-866
Fm Vietnam Rp,SVR-868
Fm Zanz-Pemb,ZPM-836
Francia,FRA-250
Gabón,GAB-266
Gambia,GMB-270
Gaza Strip,GAZ-274
Georgia,GEO-268
Ghana,GHA-288
Gibraltar,GIB-292
Granada,GRD-308
Grecia,GRC-300
Groenlandia,GRL-304
Guadalupe,GLP-312
Guam,GUM-316
Guatemala,GTM-320
Guayana Francesa,GUF-254
Guinea,GIN-324
Guinea Ecuatorial,GNQ-226
Guinea Bissau,GNB-624
Guyana,GUY-328
Haití,HTI-332
Honduras,HND-340
Hong Kong (China),HKG-344
Hungría,HUN-348
India,IND-356
Indonesia,IDN-360
"Irán- Rep. Islámica del",IRN-364
Iraq,IRQ-368
Irlanda,IRL-372
Isla Bouvet,BVT-074
Isla Bunker,BUN-837
Isla de Navidad,CXR-162
Isla Norfolk,NFK-574
Islandia-ISL,352
Islas Caimán,CYM-136
Islas Cocos (Keeling),CCK-166
Islas Cook,COK-184
Islas del Pacífico,PCE-582
Islas Falkland,FLK-238
Islas Feroe,FRO-234
Islas Georgias del Sur y Sandwich del Sur,SGS-239
Islas Heard y McDonald,HMD-334
Islas Marshall,MHL-584
Islas Salomón,SLB-090
Islas Turcas y Caicos,TCA-796
Islas Ultramarinas Menores de Estados Unidos,UMI-581
Islas Vírgenes (EE.UU.),VIR-850
Islas Vírgenes Británicas,VGB-092
Islas Wallis y Futuna-WLF,876
Israel,ISR-376
Italia,ITA-380
Jamaica,JAM-388
Japón,JPN-392
Jhonston Island,JTN-396
Jordania,JOR-400
Kazajstán,KAZ-398
Kenya,KEN-404
Kirguistán,KGZ-417
Kiribati,KIR-296
Kosovo,KSV-412
Kuwait,KWT-414
Lesotho,LSO-426
Letonia,LVA-428
Líbano,LBN-422
Liberia,LBR-430
Libia,LBY-434
Liechtenstein,LIE-438
Lituania,LTU-440
Luxemburgo,LUX-442
Macao,MAC-446
"Macedonia- ex  Rep. Yugoslava de",MKD-807
Madagascar,MDG-450
Malasia,MYS-458
Malawi,MWI-454
Maldivas,MDV-462
Malí,MLI-466
Malta,MLT-470
Mariana,MNP-580
Marruecos,MAR-504
Martinica,MTQ-474
Mauricio,MUS-480
Mauritania,MRT-478
Mayotte,MYT-175
México,MEX-484
"Micronesia- Estados Fed. de",FSM-583
Midway Islands,MID-488
Mónaco,MCO-492
Mongolia,MNG-496
Montenegro,MNT-499
Montserrat,MSR-500
Mozambique,MOZ-508
Mundo,WLD-000
Myanmar,MMR-104
Namibia,NAM-516
Nauru,NRU-520
Nepal,NPL-524
Nicaragua,NIC-558
Níger,NER-562
Nigeria,NGA-566
Niue,NIU-570
Noruega,NOR-578
Nueva Caledonia,NCL-540
Nueva Zelandia,NZL-554
Omán-OMN,512
Países Bajos,NLD-528
Pakistán,PAK-586
Palau,PLW-585
Panamá,PAN-591
Papua Nueva Guinea,PNG-598
Paraguay,PRY-600
Pen Malaysia,PMY-459
Perú,PER-604
Pitcairn,PCN-612
Polinesia Francesa,PYF-258
Polonia,POL-616
Portugal,PRT-620
Puerto Rico,PRI-630
Qatar,QAT-634
Reino Unido,GBR-826
República Árabe Siria,SYR-760
República Centroafricana,CAF-140
República Checa,CZE-203
República de Moldova,MDA-498
República Democrática Alemana,DDR-278
República Democrática Popular Lao,LAO-418
República Dominicana,DOM-214
República Eslovaca,SVK-703
Reunión,REU-638
Rumania,ROM-642
Rwanda,RWA-646
Ryukyu Is,RYU-647
Sabah,SBH-461
Sahara Occidental,ESH-732
Saint Kitts y Nevis,KNA-659
Saint Kitts-Nevis-Anguilla-Aru,KN1-658
Samoa,WSM-882
Samoa Americana,ASM-016
San Marino,SMR-674
San Martín,SXM-534
San Pedro y Miquelón,SPM-666
San Vicente y las Granadinas,VCT-670
Santa Elena,SHN-654
Santa Lucía,LCA-662
Santa Sede,VAT-336
Santo Tomé y Príncipe,STP-678
Sarawak,SWK-457
Senegal,SEN-686
"Serbia- Rep. Fed. de (Serbia y Montenegro)",SER-891
Seychelles,SYC-690
Sierra Leona,SLE-694
SIKKIM,SIK-698
Singapur,SGP-702
Somalia,SOM-706
Sri Lanka,LKA-144
Sudáfrica,ZAF-710
Sudán-SUD,729
Sudán del Sur,SSD-728
Suecia,SWE-752
Suiza,CHE-756
Suriname,SUR-740
Svalbard and Jan Mayen Is,SJM-744
Swazilandia,SWZ-748
Tailandia,THA-764
"Taiwán- China",TWN-158
Tanzanía,TZA-834
Tayikistán,TJK-762
Territorio Antártico Británico,BAT-080
Territorio Británico del Océano Índico,IOT-086
Territorio Palestino Ocupado,PSE-275
Tierras Australes y Antárticas  Francesas,ATF-260
Timor Oriental,TMP-626
Togo,TGO-768
Tokelau,TKL-772
Tonga,TON-776
Trinidad y Tobago,TTO-780
Túnez,TUN-788
Turkmenistán,TKM-795
Turquía,TUR-792
Tuvalu,TUV-798
Ucrania,UKR-804
Uganda,UGA-800
Uruguay,URY-858
Uzbekistán,UZB-860
Vanuatu,VUT-548
Venezuela,VEN-862
Viet Nam,VNM-704
Wake Island,WAK-872
"Yemen- Rep. del",YEM-887
"Yemen- Rep. Dem.  Del",YDR-720
Zambia,ZMB-894
Zimbabwe,ZWE-716
